City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,301.22,76,100,5.74,TK,1695410209
1,olonkinbyen,70.9221,-8.7187,276.0,65,52,3.55,SJ,1695410370
2,kingston,17.997,-76.7936,305.68,75,40,5.14,JM,1695410178
3,port mathurin,-19.6833,63.4167,296.37,72,0,9.21,MU,1695410212
4,lompoc,34.6391,-120.4579,297.23,68,20,4.12,US,1695410083
5,marivan,35.5219,46.176,295.08,21,0,2.7,IR,1695410372
6,college,64.8569,-147.8028,276.73,94,100,0.0,US,1695410372
7,puerto natales,-51.7236,-72.4875,279.87,55,9,4.28,CL,1695410205
8,waitangi,-43.9535,-176.5597,286.38,93,93,3.13,NZ,1695410373
9,hasaki,35.7333,140.8333,296.09,91,100,6.68,JP,1695410374
10,teteven,42.9167,24.2667,295.08,57,14,2.76,BG,1695410375
11,lebu,-37.6167,-73.65,283.74,80,100,4.5,CL,1695410206
12,edinburgh of the seven seas,-37.0676,-12.3116,284.59,59,62,4.53,SH,1695410376
13,port-aux-francais,-49.35,70.2167,278.03,97,100,15.01,TF,1695410208
14,katsuura,35.1333,140.3,296.7,94,100,4.6,JP,1695410377
15,tazovsky,67.4667,78.7,275.28,88,100,12.48,RU,1695410208
16,galliano,29.4422,-90.2992,307.59,52,40,2.57,US,1695410378
17,bandar lampung,-5.4254,105.258,295.16,85,23,3.48,ID,1695410378
18,daru,-9.0763,143.2092,297.36,69,17,5.3,PG,1695410379
19,abbeville,50.1,1.8333,289.13,88,100,3.95,FR,1695410379
20,nagqu,31.5,92.0,274.86,90,8,0.96,CN,1695410380
21,aykhal,66.0,111.5,278.64,93,100,6.63,RU,1695410380
22,adamstown,-25.066,-130.1015,293.88,89,6,6.87,PN,1695410380
23,puerto ayora,-0.7393,-90.3518,303.13,85,66,3.58,EC,1695410381
24,tak bai,6.2595,102.0546,298.14,90,100,1.69,TH,1695410381
25,grytviken,-54.2811,-36.5092,267.57,78,22,6.54,GS,1695410382
26,blackmans bay,-43.0167,147.3167,279.55,91,100,1.63,AU,1695410207
27,mount isa,-20.7333,139.5,293.02,22,0,4.12,AU,1695410384
28,aasiaat,68.7098,-52.8699,271.6,63,23,5.03,GL,1695410384
29,bethel,41.3712,-73.414,295.48,63,75,3.6,US,1695410384
30,newman,37.3138,-121.0208,297.72,37,0,0.73,US,1695410385
31,murashi,59.3999,48.9615,288.22,85,100,1.68,RU,1695410385
32,isafjordur,66.0755,-23.124,275.63,80,100,3.69,IS,1695410252
33,maamba,-17.3667,27.15,298.62,27,0,1.54,ZM,1695410386
34,lexington park,38.2668,-76.4538,295.99,74,100,4.63,US,1695410289
35,cape coast,5.1053,-1.2466,298.28,91,100,3.66,GH,1695410387
36,el bauga,18.262,33.9081,311.45,17,94,5.74,SD,1695410388
37,pisco,-13.7,-76.2167,295.18,64,0,5.66,PE,1695410112
38,envira,-7.3,-70.2167,311.5,26,62,0.88,BR,1695410389
39,kiffa,16.6166,-11.4045,312.15,21,65,0.43,MR,1695410389
40,tura,25.5198,90.2201,296.04,99,100,1.38,IN,1695410205
41,anadyr,64.75,177.4833,279.43,93,40,7.0,RU,1695410390
42,labytnangi,66.6572,66.4183,279.0,77,100,4.67,RU,1695410391
43,mermoz boabab,14.7065,-17.4758,303.46,84,20,3.09,SN,1695410391
44,papatowai,-46.5619,169.4708,279.22,91,100,2.01,NZ,1695410391
45,island harbour,50.724,-1.2758,287.03,81,0,1.34,GB,1695410392
46,margaret river,-33.95,115.0667,285.86,82,14,4.23,AU,1695410392
47,hithadhoo,-0.6,73.0833,300.88,77,67,5.3,MV,1695410393
48,iqaluit,63.7506,-68.5145,273.0,86,100,4.12,CA,1695410394
49,tamandare,-8.7597,-35.1047,299.74,71,42,3.74,BR,1695410394
50,cesme,38.3228,26.3064,294.99,73,0,0.0,TR,1695410395
51,bandar-e genaveh,29.5791,50.517,306.93,45,2,1.31,IR,1695410395
52,ribeira grande,38.5167,-28.7,295.8,100,75,6.71,PT,1695410396
53,whitehorse,60.7161,-135.0538,279.58,89,100,0.45,CA,1695410396
54,napier,-39.4833,176.9167,289.97,72,89,3.13,NZ,1695410396
55,ashburton,-37.8626,145.0794,279.77,79,100,1.32,AU,1695410397
56,udachny,66.4167,112.4,279.55,90,97,6.33,RU,1695410397
57,georgetown,5.4112,100.3354,299.79,91,20,1.54,MY,1695410398
58,albany,42.6001,-73.9662,296.38,58,100,1.34,US,1695410112
59,happy valley-goose bay,53.3168,-60.3315,289.32,41,75,6.17,CA,1695410110
60,aberdeen,57.1437,-2.0981,283.42,94,75,5.66,GB,1695410255
61,novouzensk,50.4592,48.1431,290.52,36,0,2.69,RU,1695410399
62,mirnyy,62.5353,113.9611,281.06,93,100,4.92,RU,1695410400
63,palmer,42.1584,-72.3287,295.8,52,75,4.63,US,1695410228
64,hermanus,-34.4187,19.2345,286.93,86,7,3.5,ZA,1695410215
65,iskateley,67.6803,53.1512,278.49,87,100,4.85,RU,1695410401
66,ushuaia,-54.8,-68.3,277.96,75,75,11.83,AR,1695410402
67,huntington,38.4193,-82.4452,301.11,54,20,3.58,US,1695410273
68,calca,-13.3333,-71.95,295.79,53,53,4.19,PE,1695410405
69,hamilton,39.1834,-84.5333,303.58,39,0,3.6,US,1695410130
70,severo-yeniseyskiy,60.3725,93.0408,282.3,77,100,4.62,RU,1695410406
71,kol'chugino,56.3,39.3833,287.82,59,0,2.57,RU,1695410406
72,rio grande,-32.035,-52.0986,290.21,88,100,3.47,BR,1695410220
73,ulladulla,-35.35,150.4667,281.89,82,50,2.05,AU,1695410408
74,mili,6.0815,171.735,300.97,75,100,1.52,MH,1695410409
75,ad dilam,23.9915,47.1627,306.38,11,79,3.53,SA,1695410409
76,glace bay,46.1969,-59.957,289.7,63,20,5.66,CA,1695410410
77,bel ombre,-4.6167,55.4167,300.06,83,40,7.2,SC,1695410410
78,saldanha,-33.0117,17.9442,287.93,81,0,4.85,ZA,1695410411
79,kikwit,-5.041,18.8162,299.98,62,100,1.16,CD,1695410411
80,vorgashor,67.5833,63.95,275.57,90,100,6.46,RU,1695410412
81,heishan,41.6892,122.1128,284.13,62,27,3.19,CN,1695410412
82,pimentel,-6.8367,-79.9342,298.31,61,0,7.72,PE,1695410412
83,labrador city,52.9463,-66.9114,286.1,76,75,4.12,CA,1695410413
84,sarichioi,44.95,28.85,294.35,78,75,4.63,RO,1695410413
85,jakobstad,63.6749,22.7026,291.5,76,100,8.6,FI,1695410414
86,sao joao da barra,-21.6403,-41.0511,300.2,76,5,9.34,BR,1695410208
87,tiksi,71.6872,128.8694,274.09,75,100,4.09,RU,1695410415
88,ondangwa,-17.9167,15.95,300.99,25,3,3.16,NA,1695410415
89,klyuchi,52.2667,79.1667,288.95,39,100,7.4,RU,1695410416
90,carnarvon,-24.8667,113.6333,291.43,74,0,6.51,AU,1695410417
91,feijo,-8.1642,-70.3536,309.54,32,100,0.65,BR,1695410417
92,mont-dore,-22.2833,166.5833,296.48,99,26,1.63,NC,1695410417
93,ko pha ngan,9.7578,100.0291,298.72,74,100,5.24,TH,1695410418
94,bang pakong,13.543,100.9933,301.01,86,100,2.88,TH,1695410419
95,qaqortoq,60.7167,-46.0333,278.12,68,57,3.58,GL,1695410419
96,flin flon,54.7682,-101.865,293.06,49,20,3.6,CA,1695410419
97,puerto madero,14.7208,-92.4215,307.26,59,20,2.57,MX,1695410420
98,afaahiti,-17.75,-149.2833,299.08,93,100,4.26,PF,1695410420
99,barguzin,53.6167,109.6167,281.8,69,0,1.97,RU,1695410421
100,sol'-iletsk,51.1631,54.9918,290.28,51,0,2.37,RU,1695410421
101,haiku-pauwela,20.9219,-156.3051,298.29,73,40,8.75,US,1695410422
102,ilulissat,69.2167,-51.1,275.16,35,20,6.17,GL,1695410422
103,yellowknife,62.456,-114.3525,288.46,81,75,6.71,CA,1695410206
104,guerrero negro,27.9769,-114.0611,297.11,56,10,6.7,MX,1695410423
105,ta`u,-14.2336,-169.5144,298.95,78,100,13.01,AS,1695410424
106,mogadishu,2.0371,45.3438,299.04,84,50,6.96,SO,1695410425
107,ramadi,33.4226,43.3058,307.99,12,0,3.84,IQ,1695410426
108,port elizabeth,-33.918,25.5701,290.55,75,100,3.6,ZA,1695410426
109,mount gambier,-37.8333,140.7667,278.31,93,100,2.22,AU,1695410427
110,quellon,-43.1167,-73.6167,283.29,71,75,6.69,CL,1695410205
111,toliara,-23.35,43.6667,298.8,51,0,3.88,MG,1695410428
112,nevada,39.2502,-116.7512,283.54,28,0,2.32,US,1695410236
113,sabang,5.8933,95.3214,299.22,85,100,6.17,ID,1695410428
114,massakory,12.996,15.7293,302.92,54,53,7.89,TD,1695410429
115,chibougamau,49.9168,-74.3659,291.94,72,100,3.09,CA,1695410429
116,amursk,50.2261,136.8994,278.64,94,0,2.52,RU,1695410430
117,allanridge,-27.7543,26.6438,291.35,8,0,2.84,ZA,1695410430
118,lobujya,27.95,86.8167,274.53,94,100,1.38,NP,1695410431
119,kodiak,57.79,-152.4072,281.88,71,0,0.0,US,1695410431
120,tsiombe,-25.3,45.4833,293.74,94,1,2.51,MG,1695410432
121,holualoa,19.6228,-155.9522,299.06,78,40,3.6,US,1695410432
122,malvan,16.0667,73.4667,299.49,86,98,1.19,IN,1695410433
123,invercargill,-46.4,168.35,279.27,90,100,1.79,NZ,1695410433
124,constitucion,-35.3333,-72.4167,286.7,79,100,5.33,CL,1695410434
125,cururupu,-1.8283,-44.8683,303.59,55,6,3.41,BR,1695410350
126,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,87,40,3.0,RU,1695410435
127,talnakh,69.4865,88.3972,277.71,98,100,2.2,RU,1695410435
128,thompson,55.7435,-97.8558,294.24,46,20,4.63,CA,1695410435
129,porto velho,-8.7619,-63.9039,309.18,38,75,2.57,BR,1695410353
130,jamestown,42.097,-79.2353,295.94,43,0,2.57,US,1695410195
131,port blair,11.6667,92.75,299.17,89,75,1.03,IN,1695410437
132,mount pearl,47.5166,-52.7813,282.12,70,75,6.69,CA,1695410437
133,wailua homesteads,22.0669,-159.378,299.59,78,40,6.69,US,1695410438
134,austin,30.2672,-97.7431,310.57,47,20,6.17,US,1695410115
135,nemuro,43.3236,145.575,289.57,85,0,2.19,JP,1695410439
136,kidal,18.4411,1.4078,310.11,8,2,3.43,ML,1695410268
137,thetford-mines,46.0937,-71.3054,293.21,49,0,2.29,CA,1695410440
138,lamu,-2.2717,40.902,299.27,83,25,6.13,KE,1695410441
139,kuta,-8.7233,115.1723,298.15,94,40,2.68,ID,1695410441
140,zvishavane,-20.3267,30.0665,296.24,18,0,3.0,ZW,1695410442
141,dauphin,51.1494,-100.0502,293.23,52,20,5.14,CA,1695410442
142,enewetak,11.3474,162.3373,301.97,76,32,6.91,MH,1695410442
143,uturoa,-16.7333,-151.4333,298.31,84,100,5.47,PF,1695410443
144,bardai,11.65,7.2333,298.21,77,100,3.47,NG,1695410444
145,kingscliff,-28.2667,153.5667,288.0,88,75,5.66,AU,1695410444
146,dudinka,69.4058,86.1778,277.94,96,100,7.62,RU,1695410250
147,yelizovo,53.1873,158.3805,275.23,87,40,3.0,RU,1695410445
148,arab,34.3182,-86.4958,303.19,46,0,2.97,US,1695410446
149,saint-philippe,-21.3585,55.7679,295.92,78,37,5.21,RE,1695410446
150,vernon,50.2581,-119.2691,294.39,39,3,0.51,CA,1695410210
151,fale old settlement,-9.3852,-171.2468,300.58,81,100,6.46,TK,1695410242
152,saurimo,-9.6608,20.3916,297.93,50,25,2.24,AO,1695410448
153,utrik,11.2278,169.8474,301.86,74,65,7.76,MH,1695410448
154,kapuskasing,49.4169,-82.4331,292.2,72,100,3.09,CA,1695410254
155,dakhla,23.6848,-15.958,295.16,78,0,9.26,EH,1695410211
156,marka,1.7159,44.7717,298.65,85,30,6.58,SO,1695410450
157,hawaiian paradise park,19.5933,-154.9731,299.75,90,75,3.6,US,1695410450
158,colonia,50.9333,6.95,288.13,83,20,3.09,DE,1695410451
159,vizille,45.0782,5.7707,286.84,95,91,1.83,FR,1695410451
160,rochelle,46.25,-1.0,290.2,63,0,5.66,FR,1695410451
161,n'dalatando,-9.2978,14.9116,297.05,68,100,0.15,AO,1695410452
162,fukuecho,32.6881,128.8419,297.74,74,91,9.43,JP,1695410452
163,cidreira,-30.1811,-50.2056,293.74,92,100,5.18,BR,1695410453
164,mandalgovi,45.7625,106.2708,285.7,40,100,4.8,MN,1695410453
165,saint-francois,46.4154,3.9054,284.84,76,0,1.54,FR,1695410454
166,fraserburgh,57.6874,-2.0184,282.83,78,64,10.72,GB,1695410454
167,melfort,52.8667,-104.6177,295.22,28,28,4.12,CA,1695410266
168,bilibino,68.0546,166.4372,274.38,95,100,0.87,RU,1695410455
169,howrah,22.5892,88.3103,300.15,92,100,2.06,IN,1695410455
170,dwarka,22.2394,68.9678,300.67,88,99,5.88,IN,1695410456
171,gatesville,31.4352,-97.7439,308.35,47,0,4.63,US,1695410456
172,rundu,-17.9333,19.7667,299.04,18,59,2.56,NA,1695410457
173,badger,64.8,-147.5333,277.03,92,100,0.0,US,1695410457
174,al mutayrifi,25.4788,49.5576,303.34,39,12,0.76,SA,1695410457
175,punta arenas,-53.15,-70.9167,282.21,49,40,13.38,CL,1695410458
176,natchitoches,31.7668,-93.1335,309.62,43,40,1.54,US,1695410458
177,san antonio de pale,-1.4014,5.6325,298.1,82,100,5.24,GQ,1695410297
178,bhimunipatnam,17.8833,83.4333,300.88,88,100,5.3,IN,1695410459
179,luderitz,-26.6481,15.1594,289.3,76,63,10.66,NA,1695410460
180,amarillo,35.222,-101.8313,308.2,23,0,8.75,US,1695410460
181,kutum,14.2,24.6667,302.53,27,5,2.87,SD,1695410461
182,puerto santa,-8.9906,-78.6456,294.05,75,5,5.97,PE,1695410461
183,chonchi,-42.6128,-73.8092,282.71,70,100,2.0,CL,1695410462
184,arraial do cabo,-22.9661,-42.0278,299.13,65,0,8.23,BR,1695410463
185,richards bay,-28.783,32.0377,294.31,85,100,1.6,ZA,1695410464
186,egilsstadir,65.2653,-14.3948,276.1,87,75,2.57,IS,1695410464
187,bredasdorp,-34.5322,20.0403,284.16,88,5,0.76,ZA,1695410204
188,al majaridah,19.1236,41.9111,307.85,41,89,1.27,SA,1695410466
189,del rio,29.3627,-100.8968,310.5,42,0,7.2,US,1695410466
190,san patricio,28.017,-97.5169,309.35,45,56,7.11,US,1695410258
191,saipan,15.1355,145.701,299.54,89,20,2.06,MP,1695410467
192,port augusta,-32.5,137.7667,283.76,44,44,1.86,AU,1695410468
193,anna regina,7.2644,-58.5077,302.71,70,21,3.54,GY,1695410468
194,greenville,35.6127,-77.3663,292.17,95,100,6.17,US,1695410433
195,kzyltu,53.6364,72.3414,285.05,74,100,6.93,KZ,1695410470
196,sao jose da coroa grande,-8.8978,-35.1478,299.54,73,34,3.84,BR,1695410470
197,antsiranana,-12.2787,49.2917,297.0,80,5,6.68,MG,1695410471
198,keflavik,64.0049,-22.5624,280.39,87,75,2.06,IS,1695410471
199,cabo san lucas,22.8909,-109.9124,309.05,59,0,4.12,MX,1695410261
200,williamsport,41.2412,-77.0011,296.14,53,40,3.6,US,1695410444
201,ramiriqui,5.4002,-73.3354,294.34,52,67,4.04,CO,1695410473
202,whitecourt,54.1502,-115.6855,287.73,58,20,3.09,CA,1695410473
203,durban,-29.8579,31.0292,294.66,83,14,1.12,ZA,1695410474
204,moyynkum,44.2914,72.9469,290.08,53,5,1.56,KZ,1695410474
205,aripuana,-9.1667,-60.6333,308.8,32,97,0.95,BR,1695410475
206,al bawiti,28.3492,28.8659,300.41,32,0,3.96,EG,1695410475
207,opuwo,-18.0607,13.84,296.52,44,1,1.99,NA,1695410436
208,gao,16.6362,1.637,311.16,14,92,3.19,ML,1695410476
209,luau,-10.7073,22.2247,298.73,26,95,1.79,AO,1695410477
210,avarua,-21.2078,-159.775,293.18,56,100,2.57,CK,1695410258
211,freetown,8.484,-13.2299,299.27,87,100,4.6,SL,1695410223
212,manokwari,-0.8667,134.0833,298.44,83,100,1.58,ID,1695410478
213,robore,-18.3333,-59.75,314.4,16,10,4.86,BO,1695410478
214,villamontes,-21.25,-63.5,313.84,40,0,0.0,BO,1695410479
215,rongelap,11.1635,166.8941,301.89,73,32,6.74,MH,1695410480
216,mananjary,-21.2167,48.3333,294.21,88,16,1.15,MG,1695410480
217,la ronge,55.1001,-105.2842,295.29,28,0,2.57,CA,1695410269
218,nishinoomote,30.7333,131.0,300.21,69,99,2.21,JP,1695410481
219,pangoa,-12.1167,-73.0,305.85,41,76,1.66,PE,1695410482
220,chistopol',55.3631,50.6424,289.34,72,20,0.79,RU,1695410483
221,bobo-dioulasso,11.1771,-4.2979,298.76,81,100,2.75,BF,1695410483
222,nantucket,41.2835,-70.0995,293.15,60,0,6.69,US,1695410484
223,valparaiso,-33.0393,-71.6273,291.28,70,100,4.63,CL,1695410484
224,vilyuchinsk,52.9306,158.4028,275.3,78,9,2.93,RU,1695410452
225,nezhinka,51.7676,55.3694,287.24,62,0,3.0,RU,1695410485
226,hadibu,12.65,54.0333,299.76,82,45,5.14,YE,1695410209
227,constantia,44.1833,28.65,294.65,74,2,6.87,RO,1695410486
228,camana,-16.6228,-72.7111,293.87,71,1,3.5,PE,1695410487
229,ciudad lazaro cardenas,17.9583,-102.2,303.81,68,16,3.94,MX,1695410277
230,bac lieu,9.285,105.7244,299.41,87,100,2.92,VN,1695410488
231,tamanrasset,22.785,5.5228,304.1,11,0,3.09,DZ,1695410488
232,natal,-5.795,-35.2094,301.51,65,20,6.17,BR,1695410489
233,altai,46.3722,96.2583,276.9,78,41,2.33,MN,1695410490
234,hammerfest,70.6634,23.6821,281.4,87,75,2.06,NO,1695410246
235,lauro de freitas,-12.8944,-38.3272,299.16,78,75,5.14,BR,1695410491
236,moses lake,47.1301,-119.2781,290.86,63,0,1.54,US,1695410459
237,tidjikja,18.5564,-11.4271,310.15,16,47,5.01,MR,1695410492
238,la passe,45.5549,-0.8967,289.25,68,30,4.79,FR,1695410493
239,changping,40.2186,116.2197,288.95,52,100,0.75,CN,1695410493
240,korhogo,9.45,-5.6333,297.42,89,56,2.16,CI,1695410494
241,laguna,38.421,-121.4238,298.88,50,0,3.09,US,1695410494
242,kirchhain,50.8167,8.9667,285.96,82,100,4.35,DE,1695410495
243,posto fiscal rolim de moura,-13.0833,-62.2667,313.99,19,91,1.33,BR,1695410496
244,coronel dorrego,-38.7187,-61.2873,287.23,43,100,5.75,AR,1695410497
245,shunyi,40.125,116.6453,289.12,88,0,1.0,CN,1695410497
246,anchorage,61.2181,-149.9003,282.11,92,100,1.54,US,1695410467
247,cacak,43.8914,20.3497,299.93,52,14,3.29,RS,1695410499
248,onguday,50.75,86.15,281.42,92,99,1.59,RU,1695410499
249,nogliki,51.8333,143.1667,277.36,81,0,4.04,RU,1695410500
250,alofi,-19.0595,-169.9187,296.09,49,99,9.77,NU,1695410500
251,stanley,54.868,-1.6985,285.25,93,20,0.0,GB,1695410501
252,magadan,59.5667,150.8,275.67,73,100,1.42,RU,1695410255
253,acapulco de juarez,16.8634,-99.8901,305.05,62,100,4.12,MX,1695410359
254,almeirim,-1.5233,-52.5817,305.16,54,70,3.62,BR,1695410502
255,santo antonio do ica,-3.1022,-67.9397,306.61,47,95,1.46,BR,1695410503
256,fortuna,40.5982,-124.1573,293.11,67,40,2.06,US,1695410503
257,trinidad,-14.8333,-64.9,310.14,41,20,4.12,BO,1695410255
258,kati,12.7441,-8.0726,296.82,61,30,1.31,ML,1695410504
259,el calafate,-50.3408,-72.2768,277.69,60,13,2.86,AR,1695410505
260,albemarle,35.3501,-80.2001,299.18,56,100,7.2,US,1695410505
261,kristiansund,63.1115,7.732,285.51,87,19,2.57,NO,1695410506
262,ust-nera,64.5667,143.2,270.31,93,83,1.67,RU,1695410506
263,aitape,-3.1374,142.3475,297.73,92,100,1.78,PG,1695410507
264,wynyard,-41.0,145.7167,279.81,82,100,2.09,AU,1695410507
265,mayqayyng,51.4625,75.7986,288.81,40,100,9.96,KZ,1695410508
266,la'ie,21.6477,-157.9253,301.54,70,86,2.68,US,1695410256
267,nadi,-17.8,177.4167,294.15,83,20,1.03,FJ,1695410509
268,conde,-7.2597,-34.9075,299.85,69,20,5.66,BR,1695410510
269,mana,5.6592,-53.7767,302.98,71,13,5.29,GF,1695410511
270,caleta de carquin,-11.0925,-77.6267,294.17,71,7,5.08,PE,1695410511
271,nova vicosa,-17.8919,-39.3719,298.73,67,54,5.73,BR,1695410344
272,leh,34.1667,77.5833,284.74,45,4,3.35,IN,1695410512
273,mahalapye,-23.1041,26.8142,300.82,21,0,5.39,BW,1695410512
274,jati,24.3539,68.2671,301.83,79,77,3.96,PK,1695410513
275,veracruz,19.3333,-96.6667,303.82,53,30,2.24,MX,1695410185
276,harstad,68.799,16.5293,282.12,97,100,5.81,NO,1695410514
277,inyati,-19.6756,28.8469,296.8,13,0,5.8,ZW,1695410514
278,nhamunda,-2.1861,-56.7131,311.9,26,73,2.45,BR,1695410515
279,gadzhiyevo,69.2551,33.3362,284.62,93,100,6.01,RU,1695410515
280,fernie,49.5,-115.0687,286.53,45,100,1.5,CA,1695410515
